,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
111CA,49646,656,0,20,16,0,1723,0,0,0,0,0,0,0,0,0,0,660,204831,3939,0,0,0,0,18199,0,1871,276,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,3,0,1,1,569,37,989,0,138,0,0,0,0,0,281,31,1623,28,7,-413,0,2713,0
113FF,18499,7034,0,109,0,0,0,16048,1,0,0,0,0,0,0,0,121,404,7741,0,92,3319,54,0,379,1851,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,9,1,0,87,0,0,0,0,0,180,312,2714,65,0,55,38,2625,0
211,0,0,26159,43,80,88075,0,14,2,16,6,0,0,0,3,0,0,0,10,0,0,23,2,397210,11051,21,90,73,0,0,0,0,0,274,0,13,6,2,7,2,0,0,0,0,0,144,0,0,2,50,190,3,17,225,32,107,64,16,17,46,68,220,152,0,1091,2357,0,18606
212,2593,2,53,8890,99,14939,15997,22,15994,16630,843,151,84,180,127,85,34,197,3207,362,0,3228,0,1760,8311,420,16,2,0,135,0,7,0,0,1,3,151,133,335,58,0,0,0,0,1,0,0,0,0,930,67,403,71,415,0,45,41,5,311,749,80,491,659,0,2723,0,1842,4426
213,0,0,7766,1583,1556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,5189,116,1541,2597,124,20672,3957,1874,5311,10049,4571,2514,3805,1286,4242,1460,867,1488,10850,1731,321,6843,1130,2248,16426,4914,8300,11360,139,83,90,1214,266,2069,10145,4306,473,219,1567,595,1926,800,412,1379,8,54334,2325,293,387,1907,7603,1469,292,5102,1464,3074,1437,446,502,1409,4022,14942,3324,2098,1128,1129,18217,1501
23,1732,32,1240,1767,1676,5707,190,331,528,1016,744,559,904,210,602,235,180,266,1247,148,58,590,301,6407,1793,563,1055,1472,46,719,74,256,120,1789,166,281,80,54,1866,69,6488,1356,514,192,63439,46091,104,81,31,702,462,282,22,282,318,345,240,165,79,251,531,1202,2511,4587,1444,330,19332,32445
321,459,19,0,29,158,0,56282,25857,326,369,171,977,843,403,3363,356,8424,1200,213,72,0,4400,2,0,363,2088,2177,953,0,1935,0,87,0,37,82,62,322,274,1215,923,141,8,0,0,5,9024,144,15,10,988,4,657,29,64,406,273,6,1506,9,193,458,631,453,26,66,1,3317,184
327,12,11,390,302,569,21,97886,1046,21709,3134,1712,1972,662,1610,7899,335,432,1222,5567,76,0,509,1,1025,1592,2172,483,1024,0,13,0,14,0,3,64,55,15,2,2391,928,55,21,23,0,8,241,269,15,80,5341,235,1384,134,127,2674,1003,152,249,26,214,87,1685,1125,34,518,0,1730,2264
331,107,0,2351,561,690,1,5260,337,1759,88179,87284,46813,10258,21917,41785,12351,4232,8230,2361,129,0,853,44,15,55,1719,1632,904,0,1858,0,0,0,0,223,0,82,62,354,121,0,0,0,0,0,985,25,0,40,1537,45,350,499,142,204,280,17,175,61,301,14,88,633,124,539,0,373,437
332,3131,109,2752,1083,1099,2882,101928,4052,2549,5555,42159,31181,14907,10900,26602,14165,5921,5606,15376,668,112,6044,1148,360,10365,8132,2187,2403,115,332,4180,901,259,1182,476,393,2191,23,10581,1306,135,112,0,26,2,2723,681,29,956,7540,1055,2234,2900,429,643,671,25,1118,49,1170,809,1852,3919,4687,2045,843,4747,3092
333,2463,394,3793,4278,5105,671,33553,490,109,1829,4450,37197,649,1914,29438,3770,129,1276,2659,28,8,1097,1376,51,3458,1407,2259,549,3,32,15,156,86,237,1441,771,347,162,1089,327,43,61,21,0,4,53,567,41,525,2363,127,2442,3708,1766,345,370,197,98,37,113,81,486,4419,615,155,39,3285,907
334,79,1,24,41,205,30,7782,1254,760,1553,5569,7417,94856,3613,16165,13514,1194,2282,3538,469,45,569,895,227,3971,1860,5215,2063,2,90,2,178,1,47,315,111,2175,1295,17378,2067,818,736,43,431,0,325,92,1507,2465,8217,11426,2953,621,1943,3099,244,121,278,21,132,244,90,3333,11022,2166,0,1851,1025
335,248,123,46,33,228,16,42003,502,92,1850,3273,11201,6743,11514,5643,1822,94,858,829,43,4,344,65,53,789,936,484,564,2,177,39,82,40,4,18,111,1,0,4063,311,239,171,46,0,1,365,212,3,863,6294,111,2336,552,631,77,465,269,320,20,232,446,536,2541,795,2916,57,2627,2600
3361MV,707,76,401,882,576,24,1973,2035,830,781,1732,13806,2354,767,171603,3825,601,1013,4650,152,1,1224,197,86,1505,603,3712,3374,0,35,0,4717,328,3,61,1072,1900,68,819,18,37,18,0,0,0,0,454,0,28,2099,445,4287,1069,388,259,314,60,991,69,53,89,419,16982,3150,107,2451,4558,690
3364OT,0,30,0,7,0,0,56,76,0,0,70,398,0,0,569,52919,0,0,0,0,0,0,0,0,0,0,8,0,1008,1190,1093,6,27,0,470,0,0,0,2,0,0,0,0,0,0,0,0,0,0,227,16,24,24,0,0,0,0,100,0,14,0,0,49,20029,942,5,1,26
337,10,0,0,0,0,0,24761,678,1,0,0,458,275,1,36,288,4548,292,0,0,0,0,0,0,0,395,213,700,0,0,4,0,0,0,12,0,0,0,178,355,0,0,0,0,8735,19,0,2,0,216,6,1,0,0,342,48,1,82,487,322,7,232,110,0,0,344,10,747
339,120,1,12,27,25,0,1116,30,230,47,55,2655,8,831,2528,50,20,9156,32,20,429,1,8,2,885,134,1251,1220,0,2,0,5,24,10,329,89,11,2,137,79,283,140,12,0,0,176,23,27,18,1771,25,2738,970,583,19482,18067,1189,2585,189,589,45,378,2513,145,535,0,7722,25
311FT,27145,518,0,0,0,0,0,19,688,9,0,0,0,0,0,0,0,12,162617,8,705,381,471,207,6920,211,1005,2184,254,0,237,8,0,0,34,0,164,12,0,3,0,0,0,0,0,0,0,0,0,746,129,0,0,6808,30,6449,5608,6313,1104,5156,6105,52127,966,3368,85,958,46337,0
313TT,400,112,0,2,0,0,2071,460,198,0,2,522,3,0,2909,1075,3388,2648,157,13433,3902,3246,287,34,3,2601,1122,2093,0,0,260,12,0,5,81,5,13,202,11,8,0,0,0,0,0,51,212,0,0,175,7,152,106,106,61,593,2237,695,3,1055,1910,247,1533,1056,428,1,2909,8
315AL,17,0,0,0,0,0,0,0,1,0,0,0,0,0,1997,0,0,183,15,316,5790,0,2553,7,0,1,1380,239,0,0,0,0,0,0,0,0,54,13,2016,1,0,0,0,0,0,0,57,0,0,54,8,578,301,107,294,544,0,2052,50,96,48,653,1024,226,18,79,3819,25
322,436,1,26,146,73,11,3287,1146,2262,1682,1842,2124,1477,1621,4682,601,1868,2624,18934,488,56,52452,17540,182,6574,5667,4728,2035,13,54,12,142,805,200,3008,99,4053,152,410,147,1734,287,312,7,0,593,602,344,253,3396,874,3335,263,328,1832,1773,819,539,97,199,2070,2803,954,197,2744,50,13192,17
323,47,0,4,3,0,49,51,5,0,0,24,8,0,4,5,0,0,0,82,0,41,0,2207,2,323,0,7293,3837,9,35,0,224,65,33,297,13,16456,1010,578,2010,807,2832,2029,0,0,79,662,1087,376,7341,1596,3291,21,1431,2353,1954,196,1662,1199,343,686,784,1531,968,3326,24,12937,298
324,12804,815,2395,7027,3748,29006,57349,1771,2352,4466,1959,1465,857,1099,1142,374,599,2365,4757,518,93,3153,1400,23742,25988,1427,5140,2018,36228,7970,8212,43026,4048,36,10303,315,417,147,687,443,10266,2911,35,1069,2,4587,2887,182,968,2315,1973,6259,2694,1039,985,2606,1375,506,361,1315,944,3279,4596,22490,1590,3874,110055,15427
325,21526,2523,2964,2193,1501,806,12735,3086,4676,2339,7435,3074,5249,3465,11004,1494,2915,9049,5717,15452,283,9645,5796,9296,241686,67678,1883,673,1,168,6,231,14,5,268,316,769,261,708,188,134,154,42,0,180,8414,45,301,115,10777,2026,6616,1639,698,34541,37961,3334,515,162,578,56,305,4193,3049,2757,147,28156,1866
326,1645,74,37,960,538,8,35249,1530,1394,729,2387,11615,7385,3056,22889,4085,4642,6103,16865,552,163,3073,3951,223,13114,18748,8140,4156,87,7,2,931,26,79,3135,183,769,72,3666,207,418,141,247,2,1,532,673,168,342,5428,261,1866,422,462,7734,2270,1314,972,43,302,126,4883,5299,1910,1045,5,8376,2051
42,2026,26,148,102,0,1219,17,309,303,1322,819,1930,3126,2131,657,89,573,1428,3492,224,74,1291,186,97,6205,1138,22774,7589,57,0,0,19,0,11,0,0,711,18,2275,18,44,129,96,12,0,0,7710,0,389,0,0,36,12,10,484,32,0,0,0,113,0,12,44,0,0,1,31,0
4A0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
481,0,0,1,23,261,909,207,273,359,341,759,580,242,58,429,227,365,565,698,61,29,178,421,160,290,456,2946,130,105,16,73,2375,36,6,1712,47,691,296,747,877,3635,3596,1086,280,0,4928,1146,1111,2213,4247,341,3382,437,603,2106,177,315,321,136,191,191,895,517,5485,2689,891,3001,55
482,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,37,19,0,14,0,2526,0,1,103,17,0,0,158,1,10,11,89,0,0,0,3,34,15,212,1,72,0,0,9,7,0,0,0,0,0,0,1,47,33,116,183,0
483,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,66,4,2,157,2,25,0,2,1,0,0,0,8,2568,157,1205,253,0
