,total_output
111CA,395529
113FF,53382
211,253994
212,101852
213,106929
22,474119
23,1577966
321,108455
327,127320
331,222887
332,346279
333,378267
334,354303
335,124254
3361MV,597171
3364OT,335565
337,76282
339,158849
311FT,953120
313TT,49704
315AL,15711
322,185299
323,83928
324,538793
325,782650
326,237762
42,2053877
4A0,1008034
481,236301
482,79569
483,54977
484,367154
485,78301
486,48072
487OS,238706
493,123834
511,385290
512,150736
513,862043
514,365235
521CI,1057917
523,549317
524,1043139
525,157361
HS,2033638
ORE,1265027
532RL,348724
5411,354713
5415,476031
5412OP,1373298
55,568623
561,939580
562,115616
61,357469
621,1072340
622,846173
623,243885
624,224460
711AS,198999
713,153499
721,282916
722,817531
81,708881
GFGD,624290
GFGN,405353
GFE,94811
GSLG,2268884
GSLE,354249
