,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
111CA,0.25490166334200526,0.011483271514742797,0.0,0.00024545418843027137,0.000177687998578496,0.0,0.0010881096297385368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014856876656447317,0.2853344804431761,0.05194752937389345,0.0,0.0,0.0,0.0,0.026535488404778637,0.0,0.00041920718718793773,0.00038589968195517217,0.0,0.0,0.0,0.0,0.0,0.0,0.0002555444773068126,0.0,0.0,0.0,0.0,0.0,9.452537391874788e-07,0.0,0.0,0.0,0.0,5.533478732074493e-06,0.0,5.638361153946994e-06,2.100703525610727e-06,0.000948082644844746,5.97935714876113e-05,0.001665637838183018,0.0,0.0007189434608315686,0.0,0.0,0.0,0.0,0.0,0.003166144404849543,0.00019440399270454834,0.005043233834557956,3.526685014833237e-05,2.2425475339986224e-05,-4.9339711313349107e-05,0.0,0.001423607377018834,0.0
113FF,0.05793506923638975,0.14607920272751115,0.0,0.0009916349212582963,0.0,0.0,0.0,0.14039924392605227,7.854225573358467e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015993288062714664,0.0018634048687747483,0.010030216551955682,0.0,0.004073579021068041,0.020734056848660812,0.00035744924220760654,0.0,0.0005775250750654826,0.010073098308392425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18925372634119e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002155395260169315,3.8689958021395546e-05,2.1286106558249432e-06,0.0,0.0002070109575935256,0.0,0.0,0.0,0.0,0.0,0.0015765575020032705,0.0015658357957839075,0.006645619554487842,0.00018338762077132833,0.0,0.00012581626384904022,0.00018985138855196127,0.0018273300882724723,0.0
211,0.0,0.0,0.08560044725465955,0.0,3.7407999700736e-05,0.026183299973213475,0.0,2.7661241989765342e-05,0.0,8.973156801428526e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.600662963327289,0.0071104580591579885,0.0,1.9475362935560405e-06,4.960150153665451e-06,0.0,0.0,0.0,0.0,0.0,0.000145614910966883,0.0,0.0006460261317570296,1.0381790339744089e-05,0.0,2.3200698805048008e-06,1.6427779374922994e-05,0.0,0.0,0.0,0.0,0.0,2.7667393660372466e-05,0.0,0.0,0.0,2.9126962975261016e-06,5.275903366553938e-06,0.0,1.729864378632715e-05,0.0005482992930855542,9.32540052595259e-07,0.0,0.0,0.0,0.0,0.0001498381096945257,0.0,0.0,4.232022017799885e-06,0.0,0.0,0.02015588908459989,0.0,0.06601288923892516
212,0.0046545259639621875,0.0,0.00043308109640385206,0.09588422416840121,0.00121575999027392,0.011199719901543705,0.012268325173039217,0.00016596745193859204,0.10665252906063462,0.051281591120164026,0.001680725657634451,0.0003489598616850003,2.2579543498079328e-05,0.000812851095336971,0.00015071060048126917,0.0007539522894223176,0.0002884035552292808,0.0005980522382891929,0.0022484052375356723,0.0015290519877675841,0.0,0.01378312888898483,0.0,0.009586241840558434,0.0096454353797994,0.0010767069590599003,1.4119638128281295e-05,1.9840600614661807e-06,0.0,0.0016086666918020836,0.0,1.9065569216187214e-05,1.2771228975364299e-05,0.0,1.2567761179023568e-05,3.2301306587851475e-05,0.00010641335098237691,0.00013931642076212716,0.00044545341705692177,0.0012485112324941475,0.0,0.0,0.0,0.0,5.4090255984595096e-06,0.0,0.0,0.0,0.0,0.0010988146782417217,0.00012310441188625855,0.0010909129611102832,0.0007784389703847218,0.001379140568832542,0.0,4.727165721430488e-05,0.00019681407220616275,0.0008108348926312037,0.001648249488690898,0.006749229636675158,0.0006998543737363741,0.0015644666685422327,0.002114600334894009,0.0,0.01148875177931334,0.0,0.0011701788191904037,0.02033597836549997
213,0.0,0.0,0.04924919486287078,0.01021089423869929,0.027298487781612098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6019829636393558e-05,3.517268911035959e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.023396514541285215,0.001929489340976359,0.01598462955817854,0.0367199465891686,0.006817607945459136,0.023913827541186917,0.005911407470122931,0.01714997003365451,0.030757147345271758,0.023271882164504883,0.014052252663314842,0.007325513460069211,0.005582792129900114,0.006172839506172839,0.005556197471076124,0.00737860027118442,0.009006056474659815,0.006175676271175771,0.008936964915225784,0.017745050700144857,0.0012093437718795749,0.03356197281151005,0.017145648651224858,0.011128578136687002,0.018669903532869098,0.02079810903340315,0.007436180452870352,0.016774235789665824,0.0012018569536311739,0.0008923073056089683,0.004983902359168379,0.011877849621684634,0.003869682379535383,0.014519886836412048,0.006845240588841504,0.022215223605794854,0.0027252199641828235,0.003589056363443371,0.005072832793723747,0.006231604309554123,0.004404882424613651,0.0019023623882020765,0.0008186828409253225,0.018054028634795154,0.0002970046783154131,0.03339454414806957,0.0043902914625893255,0.0021820457665774865,0.0011490848285090676,0.004299139735148526,0.009238106794835946,0.0036718533812980267,0.01293938555217271,0.019053400434723013,0.0043232556838316205,0.01071884827334363,0.016712794964839985,0.006130268199233717,0.0053568108382454184,0.022377995947856336,0.023275459853808196,0.024100615144869126,0.009184898452631683,0.005623988851335117,0.002962849664366614,0.02945860712364599,0.00937024545988248,0.008033897061106736
23,0.003906161115872667,0.0006181859053613578,0.000708678157751758,0.02640105250755999,0.019676607842587138,0.015607895907989345,0.00015716434954872284,0.002839887510949242,0.006416902293433868,0.0039481889926285514,0.0036271330343451377,0.002379271784215911,0.0014930723138104956,0.0011428203518598998,0.0012726672929529398,0.0015287649188681775,0.001651765816313154,0.001850814295337081,0.0016891891891891893,0.0017503621438918397,0.0002545986888167526,0.004883998294648109,0.0035149175483747976,0.01722182730659084,0.002542643582699802,0.002881032292796999,0.001637391138807241,0.0033441332336012477,0.000960639184768579,0.030087094220110848,0.001236880877457846,0.0015279691900401467,0.003997394669289026,0.009777001164919287,0.005479543874054276,0.006565240563980813,0.000350385423966363,0.0007164844496337969,0.0027110016553698597,0.0015140936657220693,0.0056053546733817496,0.0023447299100519373,0.0006365402884946302,0.0006545459167137982,0.03725540140378966,0.034110734395392354,0.0018266594785561075,0.0004989949621243089,0.00012604221153664363,0.0011279416412169829,0.0012961135937167509,0.0008514442623299772,0.001124411846111265,0.005566916292042107,0.0006686312177108007,0.0013117884876969602,0.0023822703323287614,0.0021384656508954825,0.0010603068357127423,0.0031400856031635386,0.00992874210012866,0.002047628774933305,0.004684848373704472,0.015758701885341748,0.0016084745888151808,0.005695541656558838,0.013922263103799048,0.14635750559634608
321,0.0013652601958389903,0.0025289423401146454,0.0,0.0034461768055610103,0.0037595039699239684,1.0545875613506314e-05,0.038912118512059196,0.27762666543727815,0.0017279296261388628,0.0017677118898814198,0.0005486905067878791,0.0026383480451638657,0.0010330141150371292,0.004249360181563571,0.0063750584003576865,0.0008582539895400295,0.104008809417687,0.008454570063393537,0.0003367886520060433,0.0011467889908256881,0.0,0.031020135025013627,2.38299494805071e-05,0.0,0.00032837155816776336,0.005774682245270481,0.0032299889428626933,0.0009761575502413609,0.0,0.03371916198519524,0.0,0.0004766392304046803,0.0,6.240639041437844e-05,0.0003686543279180247,0.0008802106045189528,0.00015832230268109736,0.0004179492622863815,0.0010057502931988312,0.0024340493107177573,0.00013706179218218441,7.2817699069935936e-06,0.0,0.0,1.819399519481835e-05,0.005916869758511083,0.001204390864982049,2.8191805769734967e-05,5.2517588140268176e-05,0.000704144329926935,8.793172277589898e-06,0.0012888737521020031,0.0002162330473290894,9.791058805099183e-05,0.0003795438014062704,0.000421899540637671,1.2300879512885172e-05,0.003247794707297514,4.0201207041241414e-05,0.001335513586407729,0.0025519942315033435,0.0009100572333036913,0.0006785341968539148,3.2036393342837464e-05,0.00017022200403105442,5.273649681998924e-05,0.0011494637892461668,0.0008242789676188218
327,8.596082714541791e-05,0.0014611666853995729,0.002716599604715072,0.005822173349566037,0.012400751900793984,0.00016873400981610103,0.06485754445913283,0.0079018947950763,0.1476358781024191,0.01172342936106637,0.0051374758503980895,0.007780218734386029,0.0013999316968809183,0.01679623996008177,0.012930969521292896,0.001665847153308599,0.005925382134710679,0.007396961894629491,0.004805271109618935,0.0008852406244970224,0.0,0.003820851704542388,1.191497474025355e-05,0.00411846479074524,0.002897847058071935,0.009463244757362405,8.374406062290974e-05,0.0008065204149860025,0.0,0.00022621875353466802,0.0,0.0006073745621728213,0.0,0.0,0.00013824537296925927,0.0007510053781675469,1.2977237924680112e-05,1.3268230548774015e-05,0.0045102158477013325,0.002160252987802374,7.845606035256074e-05,8.191991145367793e-05,2.2048835294241706e-05,0.0,9.244516477367162e-05,0.0001027646050242406,0.002021656094791296,2.819180576973497e-06,0.0005797941730685607,0.00354693591631241,0.00013893212198592037,0.0013410247131697142,0.0025947965679490727,0.0003972372429497383,0.0030466083518287113,0.0034106500680120967,0.0009471677224921582,0.0021429207876681815,7.035211232217247e-05,0.0012833959830357202,0.000600885068359513,0.0033637868166467083,0.0024404660302646,0.0002450784090727066,0.0020722678751606623,0.0,0.0008396198307185382,0.009507436859384218
331,0.00020984554861969666,0.0,0.011842799436207155,0.005684719004045085,0.005218415958252672,1.0545875613506314e-05,0.0035862623149041234,0.0021760177031948736,0.012268300345585926,0.30808436562024705,0.22321307385085437,0.11166979937451589,0.017247948789595346,0.12958134144574823,0.07664638771809079,0.03777509573406047,0.04841246952098791,0.03263476635043343,0.0023659140506966593,0.0017503621438918397,0.0,0.005628740576041964,0.0001906395958440568,2.9696005701633096e-05,8.049575161310931e-05,0.008441214323567264,0.00025512725445584134,0.000307529309527258,0.0,0.009073885558446128,0.0,0.0,0.0,0.0,0.0011227199986594389,0.0,5.969529445352851e-05,3.9804691646322043e-05,0.0005626169460224142,0.0009035278656207647,0.0,0.0,0.0,0.0,4.917295998599554e-07,0.002193629068786674,0.0002064670054254941,0.0,0.0,0.0010281817930267137,7.913855049830907e-05,0.0005736605717448222,0.0032521450318295044,0.00044759125966167693,0.0001818453102560755,2.363582860715244e-05,6.150439756442585e-05,0.0011806112447652142,0.00011557847024356906,0.002345292151740402,0.000116642395622729,0.00013822105828402838,0.0011567526848653019,0.00024027295007128099,0.001381511916773775,0.0,3.922633329866137e-05,0.0017021925255964025
