"The Use of Commodities by Industries, Before Redefinitions (Purchasers' Prices) - Summary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,Imports of goods and services,Federal national defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national nondefense: Consumption expenditures,Federal national nondefense: Gross investment in structures,Federal national nondefense: Gross investment in equipment,Federal national nondefense: Gross investment in intellectual property products,State and local: Consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total Final Uses (GDP),Total Commodity Output
111CA,Farms,"100,821",613,...,25,19,...,"1,717",...,...,...,...,...,...,...,...,...,...,236,"271,958","2,582",...,...,...,...,"20,768",...,861,744,"1,081",201,389,...,...,...,...,...,...,61,...,...,...,...,...,1,...,...,...,0,7,...,2,1,"1,302",34,"1,565",...,257,...,...,...,...,...,486,55,"4,123",25,14,-20,...,"3,230",...,"413,157","153,165",...,...,...,...,"-2,307","60,707","-41,196",...,...,...,...,...,...,...,...,...,...,...,...,"170,368","583,525"
113FF,"Forestry, fishing, and related activities","22,915","7,798",...,101,...,...,...,"15,227",1,...,...,...,...,...,...,...,122,296,"9,560",...,64,"3,842",30,...,452,"2,395",...,...,818,...,0,...,...,...,...,...,...,1,...,...,...,...,...,...,...,...,...,...,...,...,...,...,296,22,2,...,74,...,...,...,...,...,242,443,"5,433",130,...,51,18,"4,146",...,"74,482","8,819",...,...,...,...,655,"8,028","-17,918",...,...,...,...,...,...,...,...,...,...,...,...,-416,"74,066"
211,Oil and gas extraction,...,...,"21,742",0,4,"12,414",...,3,0,2,0,...,...,...,0,...,...,...,0,...,...,0,0,"323,633","5,565",0,4,4,0,1,5,...,...,...,...,...,7,...,80,4,0,2,6,...,...,...,...,...,35,...,...,0,4,3,0,2,196,1,0,0,0,0,23,0,0,3,...,0,"1,911",...,"23,385","389,039",...,...,...,...,...,"-7,577","41,909","-146,746",...,...,...,...,...,...,...,...,...,...,...,...,"-112,414","276,625"
212,"Mining, except oil and gas","1,841",0,110,"9,766",130,"5,310","19,359",18,"13,579","11,430",582,132,8,101,90,253,22,95,"2,143",76,...,"2,554",...,"5,165","7,549",256,29,...,...,...,2,...,128,0,7,1,...,3,4,41,21,384,456,...,...,...,...,11,...,...,...,...,"1,509",70,"1,025",90,493,...,40,48,182,328,"1,036",198,"1,279","1,499",...,"4,657",...,"2,655","7,204","103,970",334,...,121,...,...,"-1,735","22,624","-5,116",...,...,...,...,...,...,...,...,...,...,...,...,"16,227","120,198"
213,Support activities for mining,...,...,"12,509","1,040","2,919",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,22,2,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"16,493",...,"97,579","2,288",...,...,-87,"3,045","-1,048",...,...,...,...,...,...,...,...,...,...,...,...,"101,776","118,270"
22,Utilities,"9,254",103,"4,060","3,740",729,"11,338","9,328","1,860","3,916","5,187","4,866","2,771","1,978",767,"3,318","2,476",687,981,"8,518",882,19,"6,219","1,439","5,996","14,612","4,945","15,273","5,114","9,602","8,363","16,909",284,71,274,"4,361",303,698,"1,634","2,751","1,050",541,"4,373","2,276","4,660","1,045",854,"2,841",604,"42,245","1,531",774,547,"5,904","5,253","3,450","1,496","6,811","4,636","9,070","4,076","1,376","1,066","3,435","6,585","19,703","6,511","3,511","1,201","2,793","21,260","2,846","349,948","265,417",...,...,...,...,...,"4,009","-2,431",...,...,...,...,...,...,...,...,...,...,...,...,"266,995","616,943"
23,Construction,"1,545",33,180,"2,689","2,104","7,400",248,308,817,880,"1,256",900,529,142,760,513,126,294,"1,610",87,4,905,295,"9,279","1,990",685,"3,363","1,383",911,"1,876","3,371",227,"2,394",68,561,313,470,"1,308",813,135,108,"2,337",553,"5,930","1,288",664,103,"75,764","43,151",637,177,60,"1,549",737,800,130,"1,990",717,"1,110",581,480,211,482,"2,809","1,674","3,321","9,838",652,540,"31,588","51,847","294,593",...,"466,185",...,...,"587,008",...,99,...,...,"7,960",...,...,...,"12,845",...,...,...,"300,993",...,...,"1,375,090","1,669,683"
321,Wood products,540,135,...,351,402,5,"61,402","30,110",220,394,190,998,366,528,"3,807",288,"7,934","1,343",321,57,0,"5,748",2,...,257,"1,373","6,634",169,617,164,984,...,"2,683",...,175,...,3,88,109,61,63,867,889,145,4,...,...,37,"7,485",420,10,25,967,5,"1,211",25,35,407,357,3,729,8,205,722,744,481,20,69,5,"2,608",292,"147,297","6,760",619,...,...,"9,663",295,"7,007","-21,273",...,...,...,...,...,...,20,...,...,...,...,...,"3,090","150,388"
327,Nonmetallic mineral products,34,78,690,593,"1,326",80,"102,343",857,"18,797","2,613","1,779","2,943",496,"2,087","7,722",559,452,"1,175","4,580",44,...,708,1,"2,219","2,268","2,250",172,275,70,456,813,...,18,...,223,0,0,33,93,5,2,"3,888",789,83,45,23,...,188,130,705,1,276,"4,871",79,"1,260",300,142,"3,267","2,886",231,481,14,197,170,"2,750","1,730",153,840,...,"1,905","3,368","189,627","21,299",...,...,...,...,757,"11,229","-25,788",...,...,...,...,...,...,...,...,...,...,...,...,"7,497","197,124"
